incident nummer,Incident categorie,totale minuten open,Prioriteit incident
1199808,3e lijns (Technische incidenten),22650,EW
1199809,3e lijns (Technische incidenten),22650,EW
1199810,3e lijns (Technische incidenten),22718,E8
1199811,3e lijns (Technische incidenten),22647,EW
1199812,3e lijns (Technische incidenten),22648,E8
1199814,3e lijns (Technische incidenten),22651,E8
1199816,3e lijns (Technische incidenten),22643,E8
1199821,3e lijns (Technische incidenten),22935,E8
1199822,3e lijns (Technische incidenten),22636,EW
1199823,3e lijns (Technische incidenten),22667,EW
1199824,2e lijns (Doorgezette incidenten),3,E8
1199825,2e lijns (Doorgezette incidenten),1,E8
1199827,2e lijns (Doorgezette incidenten),1,E8
1199829,2e lijns (Doorgezette incidenten),10,E8
1199831,2e lijns (Doorgezette incidenten),1,E8
1199833,Functioneel beheer,27,E8
1199835,2e lijns (Doorgezette incidenten),23,E8
1199836,Functioneel beheer,24404,E8
1199837,Functioneel beheer,2,E8
1199844,2e lijns (Doorgezette incidenten),841,E8
1199846,2e lijns (Doorgezette incidenten),487,E8
1199848,2e lijns (Doorgezette incidenten),2,E8
1199849,2e lijns (Doorgezette incidenten),2,E8
1199850,Functioneel beheer,2,E8
1199851,2e lijns (Doorgezette incidenten),1,E8
1199852,2e lijns (Doorgezette incidenten),14,E8
1199854,2e lijns (Doorgezette incidenten),2,E8
1199855,2e lijns (Doorgezette incidenten),4,E8
1199856,1e lijns beheer (Helpdesk),5,E8
1199858,Hardware / Werkplekbeheer,124,E8
1199859,Hardware / Werkplekbeheer,2975,EW
1199863,2e lijns (Doorgezette incidenten),1,E8
1199864,2e lijns (Doorgezette incidenten),25,E8
1199866,2e lijns (Doorgezette incidenten),1,E8
1199867,2e lijns (Doorgezette incidenten),3,E8
1199868,2e lijns (Doorgezette incidenten),1,E8
1199869,2e lijns (Doorgezette incidenten),5,E8
1199870,1e lijns beheer (Helpdesk),3,E8
1199871,2e lijns (Doorgezette incidenten),1,E8
1199872,2e lijns (Doorgezette incidenten),216,E8
1199875,2e lijns (Doorgezette incidenten),270,E8
1199878,Hardware / Werkplekbeheer,70,E8
1199881,2e lijns (Doorgezette incidenten),31,E8
1199882,Functioneel beheer,1,E8
1199884,2e lijns (Doorgezette incidenten),10,E8
1199889,Functioneel beheer,2,E8
1199890,2e lijns (Doorgezette incidenten),2,E8
1199893,2e lijns (Doorgezette incidenten),118,E8
1199894,Telefonie / Communicatie,107,E8
1199895,2e lijns (Doorgezette incidenten),1,E8
1199896,Hardware / Werkplekbeheer,1488,E8
1199897,Functioneel beheer,2,E8
1199900,2e lijns (Doorgezette incidenten),1482,E8
1199901,Hardware / Werkplekbeheer,184357,EW
1199902,2e lijns (Doorgezette incidenten),184786,E8
1199904,Hardware / Werkplekbeheer,1481,E8
1199905,Functioneel beheer,8,E8
1199906,2e lijns (Doorgezette incidenten),3,E8
1199909,2e lijns (Doorgezette incidenten),48,E8
1199910,Functioneel beheer,1441,E8
1199911,Hardware / Werkplekbeheer,71,E8
1199913,Functioneel beheer,7,E8
1199915,1e lijns beheer (Helpdesk),31,E8
1199917,Functioneel beheer,379,E8
1199920,Functioneel beheer,8800,E8
1199923,2e lijns (Doorgezette incidenten),5,E8
1199927,Functioneel beheer,3050,E8
1199934,Hardware / Werkplekbeheer,78,E8
1199935,Hardware / Werkplekbeheer,1613,EW
1199940,2e lijns (Doorgezette incidenten),82,E8
1199942,Hardware / Werkplekbeheer,68,E8
1199943,Hardware / Werkplekbeheer,1480,E8
1199944,2e lijns (Doorgezette incidenten),9981,E8
1199946,Hardware / Werkplekbeheer,2885,E8
1199947,Functioneel beheer,1,E8
1199950,1e lijns beheer (Helpdesk),2,E8
1199951,Functioneel beheer,2,E8
1199952,Functioneel beheer,2,E8
1199956,Functioneel beheer,1,E8
1199964,2e lijns (Doorgezette incidenten),92,E8
1199965,Telefonie / Communicatie,18,E8
1199967,Hardware / Werkplekbeheer,3204,E8
1199971,Functioneel beheer,8715,E8
1199972,2e lijns (Doorgezette incidenten),3,E8
1199973,2e lijns (Doorgezette incidenten),140,E8
1199975,2e lijns (Doorgezette incidenten),19,E8
1199977,2e lijns (Doorgezette incidenten),59,E8
1199978,2e lijns (Doorgezette incidenten),2,E8
1199980,Telefonie / Communicatie,5,E8
1199982,Functioneel beheer,2,E8
1199984,Functioneel beheer,2,E8
1199985,Functioneel beheer,1,E8
1199991,2e lijns (Doorgezette incidenten),1,E8
1199993,Functioneel beheer,3,E8
1199994,2e lijns (Doorgezette incidenten),1,E8
1200001,Hardware / Werkplekbeheer,211,E8
1200006,Functioneel beheer,2,E8
1200010,Telefonie / Communicatie,1276,EW
1200012,Functioneel beheer,2,E8
1200016,2e lijns (Doorgezette incidenten),2,E8
1200021,2e lijns (Doorgezette incidenten),1244,EW
1200024,2e lijns (Doorgezette incidenten),1,E8
1200030,2e lijns (Doorgezette incidenten),202,E8
1200033,2e lijns (Doorgezette incidenten),4,E8
1200034,2e lijns (Doorgezette incidenten),6,E8
1200037,Hardware / Werkplekbeheer,1225,E8
1200038,2e lijns (Doorgezette incidenten),3033,E8
1200039,Hardware / Werkplekbeheer,20141,E8
1200043,Hardware / Werkplekbeheer,20047,E8
1200044,2e lijns (Doorgezette incidenten),7,E8
1200045,Hardware / Werkplekbeheer,22,E8
1200048,2e lijns (Doorgezette incidenten),7,E8
1200049,2e lijns (Doorgezette incidenten),123,E8
1200052,2e lijns (Doorgezette incidenten),2,E8
1200053,1e lijns beheer (Helpdesk),32,E8
1200055,Telefonie / Communicatie,1262,E8
1200058,2e lijns (Doorgezette incidenten),8,E8
1200060,2e lijns (Doorgezette incidenten),1,E8
1200062,2e lijns (Doorgezette incidenten),2,E8
1200066,Telefonie / Communicatie,1131,E8
1200067,2e lijns (Doorgezette incidenten),4,E8
1200068,2e lijns (Doorgezette incidenten),1,E8
1200070,2e lijns (Doorgezette incidenten),2,E8
1200071,Functioneel beheer,38652,E8
1200072,3e lijns (Technische incidenten),38718,EW
1200073,2e lijns (Doorgezette incidenten),1061,E8
1200079,3e lijns (Technische incidenten),65,E8
1200080,Hardware / Werkplekbeheer,10115,E8
1200081,2e lijns (Doorgezette incidenten),9967,E8
1200082,Functioneel beheer,8571,E8
1200084,Functioneel beheer,8569,E8
1200088,2e lijns (Doorgezette incidenten),83621,E8
1200090,Functioneel beheer,83393,E8
1200093,2e lijns (Doorgezette incidenten),1,E8
1200095,Functioneel beheer,5,E8
1200097,2e lijns (Doorgezette incidenten),2,E8
1200099,2e lijns (Doorgezette incidenten),40,E8
1200100,2e lijns (Doorgezette incidenten),1,E8
1200104,Functioneel beheer,10,E8
1200106,1e lijns beheer (Helpdesk),17,E8
1200110,Functioneel beheer,35,E8
1200111,2e lijns (Doorgezette incidenten),1,E8
1200112,2e lijns (Doorgezette incidenten),1,E8
1200113,Hardware / Werkplekbeheer,978,E8
1200114,1e lijns beheer (Helpdesk),3,E8
1200121,Functioneel beheer,67,E8
1200122,2e lijns (Doorgezette incidenten),9171,E8
1200125,2e lijns (Doorgezette incidenten),18,E8
1200126,2e lijns (Doorgezette incidenten),5,E8
1200127,Hardware / Werkplekbeheer,141,E8
1200130,Functioneel beheer,2,E8
1200131,2e lijns (Doorgezette incidenten),12,E8
1200135,2e lijns (Doorgezette incidenten),40,E8
1200138,Functioneel beheer,3,E8
1200139,2e lijns (Doorgezette incidenten),12,E8
1200142,2e lijns (Doorgezette incidenten),4,E8
1200145,Hardware / Werkplekbeheer,42,E8
1200146,2e lijns (Doorgezette incidenten),335,E8
1200150,2e lijns (Doorgezette incidenten),1,E8
1200151,2e lijns (Doorgezette incidenten),2,E8
1200152,2e lijns (Doorgezette incidenten),6,E8
1200156,2e lijns (Doorgezette incidenten),28,E8
1200158,2e lijns (Doorgezette incidenten),11,E8
1200160,2e lijns (Doorgezette incidenten),5693,E8
1200163,2e lijns (Doorgezette incidenten),5720,E8
1200164,2e lijns (Doorgezette incidenten),260,E8
1200166,2e lijns (Doorgezette incidenten),1,E8
1200168,Functioneel beheer,30,E8
1200170,Hardware / Werkplekbeheer,154,E8
1200175,2e lijns (Doorgezette incidenten),17,E8
1200176,2e lijns (Doorgezette incidenten),11,E8
1200178,Functioneel beheer,5,E8
1200179,Functioneel beheer,10,E8
1200181,Functioneel beheer,10,E8
1200182,2e lijns (Doorgezette incidenten),2,E8
1200185,Functioneel beheer,70,E8
1200187,2e lijns (Doorgezette incidenten),113,E8
1200191,Functioneel beheer,3,E8
1200193,Hardware / Werkplekbeheer,1730,E8
1200194,2e lijns (Doorgezette incidenten),103,E8
1200197,2e lijns (Doorgezette incidenten),3,E8
1200200,2e lijns (Doorgezette incidenten),16,E8
1200203,2e lijns (Doorgezette incidenten),10,E8
1200204,2e lijns (Doorgezette incidenten),58,E8
1200206,Functioneel beheer,5,E8
1200207,Hardware / Werkplekbeheer,72,E8
1200214,Functioneel beheer,3,E8
1200217,Functioneel beheer,139518,E8
1200219,Functioneel beheer,12,E8
1200221,2e lijns (Doorgezette incidenten),5,E8
1200226,Hardware / Werkplekbeheer,129,E8
1200227,Functioneel beheer,3,E8
1200229,2e lijns (Doorgezette incidenten),4,E8
1200247,2e lijns (Doorgezette incidenten),6,E8
1200249,2e lijns (Doorgezette incidenten),84,E8
1200252,Functioneel beheer,2,E8
1200255,Functioneel beheer,5,E8
1200256,2e lijns (Doorgezette incidenten),100,E8
1200258,Functioneel beheer,40,E8
1200259,2e lijns (Doorgezette incidenten),3,E8
1200260,2e lijns (Doorgezette incidenten),64,E8
1200262,Functioneel beheer,3,E8
1200263,Functioneel beheer,112,E8
1200265,2e lijns (Doorgezette incidenten),3,E8
1200266,2e lijns (Doorgezette incidenten),1151,E8
1200275,2e lijns (Doorgezette incidenten),17,E8
1200282,2e lijns (Doorgezette incidenten),1,E8
1200286,2e lijns (Doorgezette incidenten),5,E8
1200287,2e lijns (Doorgezette incidenten),12,E8
1200290,3e lijns (Technische incidenten),8506,E8
1200294,2e lijns (Doorgezette incidenten),2,E8
1200296,2e lijns (Doorgezette incidenten),4,E8
1200298,2e lijns (Doorgezette incidenten),6,E8
1200306,2e lijns (Doorgezette incidenten),11,E8
1200308,2e lijns (Doorgezette incidenten),7,E8
1200309,2e lijns (Doorgezette incidenten),9,E8
1200316,2e lijns (Doorgezette incidenten),7,E8
1200317,2e lijns (Doorgezette incidenten),1064,E8
1200323,Functioneel beheer,12,E8
1200325,2e lijns (Doorgezette incidenten),3,E8
1200327,2e lijns (Doorgezette incidenten),43,E8
1200331,2e lijns (Doorgezette incidenten),26,E8
1200337,Telefonie / Communicatie,1400,E8
1200339,Hardware / Werkplekbeheer,5746,E8
1200341,Functioneel beheer,38877,E8
1200343,2e lijns (Doorgezette incidenten),1,E8
1200352,Hardware / Werkplekbeheer,1173,E8
1200353,2e lijns (Doorgezette incidenten),1107,E8
1200356,2e lijns (Doorgezette incidenten),2,E8
1200359,Functioneel beheer,1011,E8
1200362,Telefonie / Communicatie,1258,E8
1200363,2e lijns (Doorgezette incidenten),53,E8
1200365,2e lijns (Doorgezette incidenten),48,E8
1200367,Functioneel beheer,999,E8
1200369,2e lijns (Doorgezette incidenten),26,E8
1200371,Functioneel beheer,3,E8
1200372,2e lijns (Doorgezette incidenten),1430,E8
1200373,2e lijns (Doorgezette incidenten),6,E8
1200377,2e lijns (Doorgezette incidenten),4,E8
1200379,2e lijns (Doorgezette incidenten),2,E8
1200387,2e lijns (Doorgezette incidenten),5246,E8
1200390,Functioneel beheer,2,E8
1200396,2e lijns (Doorgezette incidenten),129,E8
1200397,Functioneel beheer,39,E8
1200407,Telefonie / Communicatie,179,E8
1200410,2e lijns (Doorgezette incidenten),4,E8
1200411,Functioneel beheer,59251,E8
1200414,Hardware / Werkplekbeheer,48,E8
1200417,Functioneel beheer,14,E8
1200424,2e lijns (Doorgezette incidenten),48,E8
1200426,1e lijns beheer (Helpdesk),114,E8
1200427,2e lijns (Doorgezette incidenten),2,E8
1200428,2e lijns (Doorgezette incidenten),44,E8
1200429,2e lijns (Doorgezette incidenten),138,E8
1200430,2e lijns (Doorgezette incidenten),13,E8
1200432,2e lijns (Doorgezette incidenten),11,E8
1200433,Telefonie / Communicatie,139,E8
1200434,2e lijns (Doorgezette incidenten),8,E8
1200435,2e lijns (Doorgezette incidenten),3,E8
1200436,Hardware / Werkplekbeheer,4401,E8
1200438,2e lijns (Doorgezette incidenten),7,E8
1200442,Functioneel beheer,384,E8
1200444,Functioneel beheer,75,E8
1200449,2e lijns (Doorgezette incidenten),7,E8
1200450,Functioneel beheer,260989,E8
1200451,2e lijns (Doorgezette incidenten),19,E8
1200452,1e lijns beheer (Helpdesk),85,E8
1200456,Functioneel beheer,4,E8
1200457,2e lijns (Doorgezette incidenten),6,E8
1200459,2e lijns (Doorgezette incidenten),430,E8
1200463,2e lijns (Doorgezette incidenten),12,E8
1200465,2e lijns (Doorgezette incidenten),9,E8
1200466,2e lijns (Doorgezette incidenten),9,E8
1200469,Functioneel beheer,260959,E8
1200471,Functioneel beheer,6,E8
1200472,2e lijns (Doorgezette incidenten),45,E8
1200474,2e lijns (Doorgezette incidenten),70,E8
1200476,Functioneel beheer,4,E8
1200479,Functioneel beheer,129,E8
1200480,2e lijns (Doorgezette incidenten),2,E8
1200482,Functioneel beheer,1,E8
1200483,Functioneel beheer,5,E8
1200485,3e lijns (Technische incidenten),5664,E8
1200487,Functioneel beheer,8,E8
1200491,2e lijns (Doorgezette incidenten),247,E8
1200492,Functioneel beheer,1,E8
1200493,2e lijns (Doorgezette incidenten),20553,E8
1200494,Functioneel beheer,123,E8
1200495,2e lijns (Doorgezette incidenten),1,E8
1200496,2e lijns (Doorgezette incidenten),6,E8
1200497,2e lijns (Doorgezette incidenten),5,E8
1200498,Functioneel beheer,1,E8
1200504,3e lijns (Technische incidenten),5735,E8
1200505,2e lijns (Doorgezette incidenten),168,E8
1200507,2e lijns (Doorgezette incidenten),167,E8
1200509,Functioneel beheer,9,E8
1200511,2e lijns (Doorgezette incidenten),12,E8
1200512,2e lijns (Doorgezette incidenten),28,E8
1200514,Functioneel beheer,8,E8
1200515,Functioneel beheer,3,E8
1200518,Functioneel beheer,3,E8
1200519,2e lijns (Doorgezette incidenten),59,E8
1200521,Functioneel beheer,44587,E8
1200522,Functioneel beheer,44584,E8
1200523,3e lijns (Technische incidenten),44741,E8
1200524,3e lijns (Technische incidenten),44741,E8
1200525,Functioneel beheer,226015,E8
1200527,Telefonie / Communicatie,226202,E8
1200528,Functioneel beheer,3,E8
1200529,2e lijns (Doorgezette incidenten),6,E8
1200531,2e lijns (Doorgezette incidenten),272,E8
1200533,2e lijns (Doorgezette incidenten),87,E8
1200534,2e lijns (Doorgezette incidenten),84,E8
1200535,3e lijns (Technische incidenten),5652,E8
1200536,2e lijns (Doorgezette incidenten),241,E8
1200537,2e lijns (Doorgezette incidenten),4,E8
1200538,2e lijns (Doorgezette incidenten),81,E8
1200540,2e lijns (Doorgezette incidenten),63,E8
1200543,Functioneel beheer,3,E8
1200546,Telefonie / Communicatie,46,E8
1200547,2e lijns (Doorgezette incidenten),8,E8
1200550,2e lijns (Doorgezette incidenten),3,E8
1200552,2e lijns (Doorgezette incidenten),2,E8
1200553,2e lijns (Doorgezette incidenten),118,E8
1200554,Functioneel beheer,16,E8
1200555,2e lijns (Doorgezette incidenten),17132,E8
1200556,Functioneel beheer,9,E8
1200557,Functioneel beheer,3,E8
1200561,2e lijns (Doorgezette incidenten),4092,E8
1200562,Hardware / Werkplekbeheer,54,E8
1200563,2e lijns (Doorgezette incidenten),3,E8
1200564,Telefonie / Communicatie,12,E8
1200567,2e lijns (Doorgezette incidenten),3,E8
1200568,2e lijns (Doorgezette incidenten),68,E8
1200569,2e lijns (Doorgezette incidenten),28,E8
1200570,2e lijns (Doorgezette incidenten),3,E8
1200572,2e lijns (Doorgezette incidenten),3,E8
1200579,Functioneel beheer,17323,E8
1200583,2e lijns (Doorgezette incidenten),16,E8
1200591,2e lijns (Doorgezette incidenten),4,E8
1200593,2e lijns (Doorgezette incidenten),8204,E8
1200597,3e lijns (Technische incidenten),6708,EW
1200598,2e lijns (Doorgezette incidenten),2,E8
1200621,Functioneel beheer,7,E8
1200622,Functioneel beheer,14,E8
1200623,2e lijns (Doorgezette incidenten),3,E8
1200625,Functioneel beheer,11,E8
1200626,1e lijns beheer (Helpdesk),152,E8
1200627,2e lijns (Doorgezette incidenten),1,E8
1200628,Functioneel beheer,10,E8
1200630,2e lijns (Doorgezette incidenten),9,E8
1200631,Hardware / Werkplekbeheer,127,E8
1200633,2e lijns (Doorgezette incidenten),2,E8
1200636,2e lijns (Doorgezette incidenten),1411,E8
1200637,1e lijns beheer (Helpdesk),134,E8
1200641,Functioneel beheer,11,E8
1200643,2e lijns (Doorgezette incidenten),10,E8
1200645,2e lijns (Doorgezette incidenten),2,E8
1200649,2e lijns (Doorgezette incidenten),356,E8
1200650,2e lijns (Doorgezette incidenten),24,E8
1200657,2e lijns (Doorgezette incidenten),19,E8
1200658,Telefonie / Communicatie,40,E8
1200659,Hardware / Werkplekbeheer,293,E8
1200660,2e lijns (Doorgezette incidenten),277,E8
1200667,1e lijns beheer (Helpdesk),2,E8
1200670,2e lijns (Doorgezette incidenten),4,E8
1200672,Hardware / Werkplekbeheer,25,E8
1200673,Functioneel beheer,29,E8
1200675,Functioneel beheer,10,E8
1200676,Functioneel beheer,22,E8
1200677,2e lijns (Doorgezette incidenten),3,E8
1200678,Hardware / Werkplekbeheer,16,E8
1200681,2e lijns (Doorgezette incidenten),7,E8
1200690,2e lijns (Doorgezette incidenten),47,E8
1200691,2e lijns (Doorgezette incidenten),14,E8
1200692,2e lijns (Doorgezette incidenten),39,E8
1200697,2e lijns (Doorgezette incidenten),55,E8
1200704,Functioneel beheer,236375,E8
1200706,Functioneel beheer,236380,E8
1200709,Functioneel beheer,236376,E8
1200710,2e lijns (Doorgezette incidenten),3,E8
1200712,2e lijns (Doorgezette incidenten),1,E8
1200718,Hardware / Werkplekbeheer,11965,E8
1200722,2e lijns (Doorgezette incidenten),18,E8
1200732,2e lijns (Doorgezette incidenten),29,E8
1200735,Hardware / Werkplekbeheer,30,E8
1200739,2e lijns (Doorgezette incidenten),1,E8
1200741,2e lijns (Doorgezette incidenten),2,E8
1200743,2e lijns (Doorgezette incidenten),1,E8
1200745,Hardware / Werkplekbeheer,2900,E8
1200747,Functioneel beheer,1,E8
1200752,2e lijns (Doorgezette incidenten),1311,E8
1200753,Hardware / Werkplekbeheer,1577,E8
1200754,Hardware / Werkplekbeheer,44495,EW
1200755,Functioneel beheer,13017,E8
1200758,2e lijns (Doorgezette incidenten),255,E8
1200761,2e lijns (Doorgezette incidenten),49,E8
1200771,2e lijns (Doorgezette incidenten),2,E8
1200773,Functioneel beheer,3,E8
1200774,Functioneel beheer,1,E8
1200775,Functioneel beheer,3,E8
1200779,2e lijns (Doorgezette incidenten),18,E8
1200780,2e lijns (Doorgezette incidenten),29,E8
1200781,2e lijns (Doorgezette incidenten),19,E8
1200784,2e lijns (Doorgezette incidenten),31,E8
1200785,1e lijns beheer (Helpdesk),93,E8
1200786,Telefonie / Communicatie,336,E8
1200787,Telefonie / Communicatie,337,E8
1200790,Telefonie / Communicatie,333,E8
1200792,1e lijns beheer (Helpdesk),85,E8
1200793,Telefonie / Communicatie,327,E8
1200795,Functioneel beheer,215850,E8
1200796,Functioneel beheer,15880,E8
1200797,Hardware / Werkplekbeheer,24,E8
1200799,Functioneel beheer,100815,E8
1200801,Hardware / Werkplekbeheer,100608,E8
1200802,Functioneel beheer,215843,E8
1200803,2e lijns (Doorgezette incidenten),2,E8
1200805,2e lijns (Doorgezette incidenten),1229,E8
1200806,2e lijns (Doorgezette incidenten),1229,E8
1200808,2e lijns (Doorgezette incidenten),2,E8
1200809,2e lijns (Doorgezette incidenten),1,E8
1200812,2e lijns (Doorgezette incidenten),22,E8
1200813,2e lijns (Doorgezette incidenten),11,E8
1200814,Hardware / Werkplekbeheer,1714,E8
1200818,Hardware / Werkplekbeheer,211,E8
1200819,Hardware / Werkplekbeheer,1707,E8
1200820,Hardware / Werkplekbeheer,244,E8
1200821,2e lijns (Doorgezette incidenten),3,E8
1200826,2e lijns (Doorgezette incidenten),55,E8
1200827,Functioneel beheer,186026,E8
1200828,2e lijns (Doorgezette incidenten),5,E8
1200833,2e lijns (Doorgezette incidenten),2,E8
1200835,2e lijns (Doorgezette incidenten),134,E8
1200836,2e lijns (Doorgezette incidenten),149,E8
1200837,2e lijns (Doorgezette incidenten),7,E8
1200839,2e lijns (Doorgezette incidenten),3,E8
1200840,2e lijns (Doorgezette incidenten),1196,E8
1200842,1e lijns beheer (Helpdesk),140,E8
1200844,2e lijns (Doorgezette incidenten),4,E8
1200845,1e lijns beheer (Helpdesk),1,E8
1200846,2e lijns (Doorgezette incidenten),59,E8
1200849,2e lijns (Doorgezette incidenten),10,E8
1200852,2e lijns (Doorgezette incidenten),2,E8
1200853,2e lijns (Doorgezette incidenten),2,E8
1200854,Functioneel beheer,15,E8
1200858,2e lijns (Doorgezette incidenten),20,E8
1200859,2e lijns (Doorgezette incidenten),16,E8
1200860,2e lijns (Doorgezette incidenten),17,E8
1200862,Functioneel beheer,2,E8
1200863,Functioneel beheer,57,E8
1200865,1e lijns beheer (Helpdesk),2,E8
1200867,2e lijns (Doorgezette incidenten),18,E8
1200868,2e lijns (Doorgezette incidenten),7,E8
1200873,2e lijns (Doorgezette incidenten),9,E8
1200874,2e lijns (Doorgezette incidenten),10,E8
1200875,Hardware / Werkplekbeheer,252,E8
1200876,2e lijns (Doorgezette incidenten),6,E8
1200887,Functioneel beheer,2,E8
1200893,2e lijns (Doorgezette incidenten),3,E8
1200898,2e lijns (Doorgezette incidenten),6,E8
1200899,2e lijns (Doorgezette incidenten),1,E8
1200904,2e lijns (Doorgezette incidenten),4,E8
1200908,2e lijns (Doorgezette incidenten),21266,EW
1200909,2e lijns (Doorgezette incidenten),2,E8
1200910,2e lijns (Doorgezette incidenten),3,E8
1200912,Functioneel beheer,2,E8
1200913,2e lijns (Doorgezette incidenten),36087,E8
1200915,Functioneel beheer,2,E8
1200916,Functioneel beheer,14,E8
1200917,Functioneel beheer,4,E8
1200918,2e lijns (Doorgezette incidenten),1,E8
1200920,Hardware / Werkplekbeheer,160,E8
1200922,2e lijns (Doorgezette incidenten),2,E8
1200924,Functioneel beheer,4,E8
1200925,2e lijns (Doorgezette incidenten),14,E8
1200926,2e lijns (Doorgezette incidenten),13,E8
1200928,Functioneel beheer,1,E8
1200929,2e lijns (Doorgezette incidenten),2864,E8
1200931,2e lijns (Doorgezette incidenten),2794,EW
1200933,Telefonie / Communicatie,52,E8
1200936,2e lijns (Doorgezette incidenten),2,E8
1200940,Functioneel beheer,3,E8
1200943,1e lijns beheer (Helpdesk),13,E8
1200944,Functioneel beheer,3,E8
1200946,Functioneel beheer,20,E8
1200947,2e lijns (Doorgezette incidenten),4,E8
1200948,2e lijns (Doorgezette incidenten),1,E8
1200952,2e lijns (Doorgezette incidenten),7,E8
1200953,Hardware / Werkplekbeheer,150,E8
1200954,2e lijns (Doorgezette incidenten),5,E8
1200955,2e lijns (Doorgezette incidenten),1332,E8
1200959,Functioneel beheer,12746,E8
1200960,Hardware / Werkplekbeheer,100,E8
1200962,2e lijns (Doorgezette incidenten),1,E8
1200963,Functioneel beheer,29,E8
1200965,2e lijns (Doorgezette incidenten),3,E8
1200966,Functioneel beheer,1,E8
1200969,2e lijns (Doorgezette incidenten),70,E8
1200970,2e lijns (Doorgezette incidenten),43,E8
1200972,Telefonie / Communicatie,63,E8
1200973,2e lijns (Doorgezette incidenten),6,E8
1200977,2e lijns (Doorgezette incidenten),3,E8
1200979,2e lijns (Doorgezette incidenten),1293,E8
1200981,2e lijns (Doorgezette incidenten),3,E8
1200982,2e lijns (Doorgezette incidenten),1,E8
1200983,Functioneel beheer,7,E8
1200985,2e lijns (Doorgezette incidenten),5,E8
1200986,2e lijns (Doorgezette incidenten),11,E8
1200987,2e lijns (Doorgezette incidenten),3,E8
1200991,2e lijns (Doorgezette incidenten),31,E8
1200999,2e lijns (Doorgezette incidenten),5431,E8
1201000,2e lijns (Doorgezette incidenten),1,E8
1201001,Hardware / Werkplekbeheer,998,E8
1201003,2e lijns (Doorgezette incidenten),5,E8
1201004,2e lijns (Doorgezette incidenten),3,E8
1201005,2e lijns (Doorgezette incidenten),2,E8
1201010,2e lijns (Doorgezette incidenten),808,E8
1201011,Functioneel beheer,2,E8
1201013,2e lijns (Doorgezette incidenten),18,E8
1201014,Functioneel beheer,3,E8
1201015,Hardware / Werkplekbeheer,68,E8
1201016,2e lijns (Doorgezette incidenten),2,E8
1201017,2e lijns (Doorgezette incidenten),2,E8
1201018,2e lijns (Doorgezette incidenten),5,E8
1201021,2e lijns (Doorgezette incidenten),4,E8
1201023,Hardware / Werkplekbeheer,54,E8
1201025,Functioneel beheer,264,E8
1201026,2e lijns (Doorgezette incidenten),3,E8
1201027,1e lijns beheer (Helpdesk),25,E8
1201031,Functioneel beheer,2,E8
1201035,Functioneel beheer,9,E8
1201037,2e lijns (Doorgezette incidenten),67,E8
1201038,2e lijns (Doorgezette incidenten),15,E8
1201040,2e lijns (Doorgezette incidenten),11,E8
1201041,Functioneel beheer,2,E8
1201042,2e lijns (Doorgezette incidenten),15,E8
1201043,2e lijns (Doorgezette incidenten),12,E8
1201044,2e lijns (Doorgezette incidenten),2,E8
1201046,2e lijns (Doorgezette incidenten),6,E8
1201047,2e lijns (Doorgezette incidenten),3,E8
1201048,Hardware / Werkplekbeheer,24,E8
1201050,2e lijns (Doorgezette incidenten),29,E8
1201051,1e lijns beheer (Helpdesk),364,E8
1201052,Hardware / Werkplekbeheer,107,E8
1201053,2e lijns (Doorgezette incidenten),6,E8
1201054,2e lijns (Doorgezette incidenten),9,E8
1201055,Functioneel beheer,2,E8
1201056,Hardware / Werkplekbeheer,113,E8
1201057,2e lijns (Doorgezette incidenten),30,E8
1201058,Functioneel beheer,37,E8
1201059,2e lijns (Doorgezette incidenten),69,E8
1201061,2e lijns (Doorgezette incidenten),20,E8
1201062,2e lijns (Doorgezette incidenten),26,E8
1201063,2e lijns (Doorgezette incidenten),26,E8
1201065,Hardware / Werkplekbeheer,173,E8
1201066,2e lijns (Doorgezette incidenten),1692,E8
1201068,2e lijns (Doorgezette incidenten),4,E8
1201069,2e lijns (Doorgezette incidenten),40,E8
1201070,Hardware / Werkplekbeheer,100,E8
1201071,Telefonie / Communicatie,36,E8
1201073,2e lijns (Doorgezette incidenten),4,E8
1201074,2e lijns (Doorgezette incidenten),11683,E8
1201075,2e lijns (Doorgezette incidenten),1,E8
1201078,2e lijns (Doorgezette incidenten),29,E8
1201079,2e lijns (Doorgezette incidenten),14,E8
1201081,2e lijns (Doorgezette incidenten),4,E8
1201083,2e lijns (Doorgezette incidenten),9,E8
1201084,2e lijns (Doorgezette incidenten),2,E8
1201087,2e lijns (Doorgezette incidenten),1,E8
1201088,Hardware / Werkplekbeheer,20,E8
1201090,2e lijns (Doorgezette incidenten),14,E8
1201092,Hardware / Werkplekbeheer,72,E8
1201093,2e lijns (Doorgezette incidenten),3,E8
1201095,2e lijns (Doorgezette incidenten),2,E8
1201097,1e lijns beheer (Helpdesk),2,E8
1201098,Functioneel beheer,5,E8
1201101,Hardware / Werkplekbeheer,1532,E8
1201104,2e lijns (Doorgezette incidenten),3,E8
1201108,1e lijns beheer (Helpdesk),3,E8
1201110,2e lijns (Doorgezette incidenten),6,E8
1201111,2e lijns (Doorgezette incidenten),59,E8
1201118,Telefonie / Communicatie,20,E8
1201119,2e lijns (Doorgezette incidenten),56,E8
1201120,2e lijns (Doorgezette incidenten),2,E8
